2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=0 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=1 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=2 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=3 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=4 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=5 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=6 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=7 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=8 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=9 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=10 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=11 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=12 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=13 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=14 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=15 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=16 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=17 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=18 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=19 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=20 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=21 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=22 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
2024-09-22 17:27:01: execution_metadata=ExecutionMetadata(execution_id='CLI', agent_id=None, test_id='CLI', step_id='CLI', step_name=None, step_version=None) percentage=23 status=<ExecutionStatus.RUNNING: 'RUNNING'> error_message=''
